,Title_New,city,state,company,ann_sal,stars,reviews
113,data engineer,Raleigh-Durham,NC,PeopleScout,125000.0,,
123,misc,Wake County,NC,North Carolina Office of State Human Resources,16500.0,,
134,scientist,Durham,NC,Piper Clinical Solutions,46000.0,,
136,misc,Research Triangle Park,NC,Oak Ridge Associated Universities,55440.0,43.2,15.0
137,misc,Raleigh,NC,North Carolina State University,74022.0,52.199997,419.0
147,misc,Research Triangle Park,NC,Oak Ridge Associated Universities,55440.0,43.2,15.0
155,scientist,Raleigh,NC,North Carolina State University,40000.0,52.199997,419.0
166,misc,Research Triangle Park,NC,Hunter International,40000.0,54.0,13.0
174,misc,Research Triangle Park,NC,Oak Ridge Associated Universities,41300.0,43.2,15.0
188,misc,Research Triangle Park,NC,Oak Ridge Associated Universities,41300.0,43.2,15.0
201,scientist,Durham,NC,ZP Group,58000.0,,
202,misc,Raleigh,NC,North Carolina State University,58442.0,52.199997,419.0
206,misc,Research Triangle Park,NC,Oak Ridge Associated Universities,41300.0,43.2,15.0
244,data other,Research Triangle Park,NC,Oak Ridge Associated Universities,41300.0,43.2,15.0
5,data scientist,Salt Lake City,UT,TEKSystems,120000.0,44.4,1371.0
7,data analyst,Salt Lake City,UT,University of Utah,38300.0,52.800003,233.0
8,data analyst,Salt Lake City,UT,University of Utah,69000.0,52.800003,233.0
16,data analyst,West Valley City,UT,West Valley College,79542.0,55.199997,12.0
17,statistician,Salt Lake City,UT,University of Utah,56000.0,52.800003,233.0
22,scientist,Salt Lake City,UT,University of Utah,56000.0,52.800003,233.0
27,misc,Salt Lake City,UT,"H.W. Lochner, Inc.",70000.0,,
28,misc,Salt Lake City,UT,University of Utah,47500.0,52.800003,233.0
47,misc,Salt Lake City,UT,University of Utah,45548.0,52.800003,233.0
50,misc,Salt Lake City,UT,University of Utah,87743.5,52.800003,233.0
51,misc,Murray,UT,Intermountain Healthcare,42520.0,51.6,284.0
57,misc,Salt Lake City,UT,University of Utah,88000.0,52.800003,233.0
60,misc,Salt Lake City,UT,University of Utah,58300.0,52.800003,233.0
64,misc,Murray,UT,Intermountain Healthcare,42520.0,51.6,284.0
66,misc,Salt Lake City,UT,University of Utah,21000.0,52.800003,233.0
68,statistician,Salt Lake City,UT,Salt Lake Community College,20310.0,52.199997,88.0
0,data scientist,Greenbelt,MD,"ADNET Systems, Inc.",75000.0,54.0,4.0
26,data other,Washington,DC,Selby Jennings,137500.0,,
84,data scientist,McLean,VA,Jobspring Partners,145000.0,40.8,12.0
90,statistician,Washington,DC,U.S. Department of Labor,98642.0,51.0,264.0
103,misc,Washington,DC,Global Solutions Network,47300.0,,
115,misc,Greenbelt,MD,"ADNET Systems, Inc.",80000.0,54.0,4.0
126,data scientist,Fort George G Meade,MD,National Security Agency,91581.5,53.4,78.0
131,data scientist,Alexandria,VA,Selby Jennings,150000.0,,
144,data analyst,Largo,MD,Prince George's Community College,63863.0,52.800003,60.0
156,statistician,Washington,DC,U.S. Department of Labor,105969.5,51.0,264.0
165,misc,Washington,DC,Dept of Forensic Sciences,92736.5,,
206,data other,Washington,DC,Cardinal Consulting Group,65000.0,,
209,data analyst,Washington,DC,Smart Electric Power Alliance,72500.0,,
291,misc,College Park,MD,University of Maryland,65000.0,52.199997,409.0
297,scientist,Rockville,MD,Genius Pool,80000.0,,
298,statistician,Vienna,VA,MicroHealth LLC,20000.0,,
309,data scientist,Washington,DC,"Tygart Technology, Inc.",140000.0,,
313,misc,Washington,DC,Consumer Financial Protection Bureau,83627.5,42.6,20.0
316,data other,Washington,DC,Computer Futures,210000.0,52.800003,6.0
338,data engineer,Washington,DC,"Elite Technical Services, Inc.",155000.0,,
360,data scientist,Washington,DC,Central Intelligence Agency,111319.0,52.800003,83.0
362,data analyst,Washington,DC,Creative Circle,40000.0,,
363,data analyst,Washington,DC,Striker Pierce LLC,36000.0,,
387,scientist,Fort George G Meade,MD,National Security Agency,75091.5,53.4,78.0
405,data scientist,Fort George G Meade,MD,National Security Agency,116850.0,53.4,78.0
409,misc,Bethesda,MD,Global Solutions Network,61160.0,,
449,data other,Washington,DC,Harnham,300000.0,,
461,data engineer,Bolling AFB,DC,Elite Technical Services,155000.0,,
494,misc,Bethesda,MD,"Infused Solutions, LLC",41860.0,39.0,3.0
526,data analyst,Washington,DC,Legal Services Corporation,95041.5,55.199997,3.0
527,scientist,Alexandria,VA,TULKORP.,135000.0,,
570,data analyst,Fort George G Meade,MD,National Security Agency,75091.5,53.4,78.0
571,senior data scientist,Washington,DC,Selby Jennings,120000.0,,
600,data analyst,McLean,VA,"Innovative Analytics & Training, LLC",85000.0,,
655,misc,Bethesda,MD,"Calloway & Associates, Inc.",68020.0,,
659,misc,Laurel,MD,WSSC,93986.5,42.0,21.0
663,scientist,McLean,VA,Coder Kids,38000.0,,
673,data analyst,Fort George G Meade,MD,National Security Agency,75091.5,53.4,78.0
746,misc,Silver Spring,MD,FDA Office of New Drugs,105969.5,,
752,data other,McLean,VA,Request Technology,115000.0,,
765,data engineer,Washington,DC,Jobspring Partners,140000.0,40.8,12.0
784,statistician,Washington,DC,Analytic Recruiting,112500.0,51.0,2.0
786,misc,Fort George G Meade,MD,National Security Agency,75091.5,53.4,78.0
787,statistician,Fort George G Meade,MD,National Security Agency,75091.5,53.4,78.0
827,misc,Alexandria,VA,G-Technology Group,34000.0,,
828,misc,Gaithersburg,MD,"Sirnaomics,Inc",30000.0,,
837,misc,Washington,DC,Central Intelligence Agency,86213.0,52.800003,83.0
843,scientist,Washington,DC,Oak Ridge Associated Universities,58560.0,43.2,15.0
852,data analyst,Fort George G Meade,MD,National Security Agency,116850.0,53.4,78.0
907,misc,Arlington,VA,Oak Ridge Associated Universities,43600.0,43.2,15.0
913,scientist,Sterling,VA,"Microbac Laboratories, Inc.",33000.0,,
918,misc,Fort George G Meade,MD,National Security Agency,75091.5,53.4,78.0
958,misc,Washington,DC,"Worldwide Staffing Exchange, LLC",50000.0,,
971,scientist,Springfield,VA,"Total Environmental Concepts, Inc.",42000.0,,
978,misc,Washington,DC,Central Intelligence Agency,76169.5,52.800003,83.0
